Date Administered,AgeGroupVacc,7-day_avg_group_cases_per_100k,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup
10/11/2022 12:00:00 AM,<2 Years,2.091825698778462,5.2,1.7
10/11/2022 12:00:00 AM,12 - 17 Years,2.389292538531211,71.1,60.8
10/11/2022 12:00:00 AM,25 - 49 Years,4.375377337769257,84,71
10/10/2022 12:00:00 AM,<2 Years,2.888180893754513,5.2,1.7
10/10/2022 12:00:00 AM,2 - 4 Years,3.362707970076198,8,3.2
10/10/2022 12:00:00 AM,5 - 11 Years,2.306116101133878,38.6,31.6
10/10/2022 12:00:00 AM,12 - 17 Years,3.087692341261534,71.1,60.8
10/10/2022 12:00:00 AM,18 - 24 Years,4.940566605224505,80.5,65.5
10/10/2022 12:00:00 AM,25 - 49 Years,5.533740531131575,84,71
10/10/2022 12:00:00 AM,50 - 64 Years,4.938932321021492,94.6,82.7
10/10/2022 12:00:00 AM,65+ Years,6.052992966390462,95,92.8
10/09/2022 12:00:00 AM,<2 Years,3.783616050780462,5.2,1.7
10/09/2022 12:00:00 AM,2 - 4 Years,4.162083874214755,8,3.2
10/09/2022 12:00:00 AM,5 - 11 Years,2.830416016112921,38.6,31.6
10/09/2022 12:00:00 AM,12 - 17 Years,3.909439942348153,71.1,60.8
10/09/2022 12:00:00 AM,18 - 24 Years,6.14273490271622,80.5,65.5
10/09/2022 12:00:00 AM,25 - 49 Years,6.931527885734705,84,71
10/09/2022 12:00:00 AM,50 - 64 Years,6.508357241050064,94.6,82.7
10/09/2022 12:00:00 AM,65+ Years,8.092591294903956,95,92.8
10/08/2022 12:00:00 AM,<2 Years,4.52919276520594,5.2,1.7
10/08/2022 12:00:00 AM,2 - 4 Years,4.812242942914115,8,3.2
10/08/2022 12:00:00 AM,5 - 11 Years,3.266830408945094,38.6,31.6
10/08/2022 12:00:00 AM,12 - 17 Years,4.43366808536241,71.1,60.8
10/08/2022 12:00:00 AM,18 - 24 Years,6.960095888309289,80.5,65.5
10/08/2022 12:00:00 AM,25 - 49 Years,7.835519442596426,84,71
10/08/2022 12:00:00 AM,50 - 64 Years,7.455506201900521,94.6,82.7
10/08/2022 12:00:00 AM,65+ Years,9.377712656857975,95,92.8
10/07/2022 12:00:00 AM,<2 Years,5.141011530864058,5.2,1.7
10/07/2022 12:00:00 AM,2 - 4 Years,5.309632394378107,8,3.1
10/07/2022 12:00:00 AM,5 - 11 Years,3.538522223124848,38.6,31.6
10/07/2022 12:00:00 AM,12 - 17 Years,4.813419409005634,71.1,60.8
10/07/2022 12:00:00 AM,18 - 24 Years,7.52501571351676,80.5,65.5
10/07/2022 12:00:00 AM,25 - 49 Years,8.569136237205015,84,71
10/07/2022 12:00:00 AM,50 - 64 Years,8.304807319479993,94.5,82.7
10/07/2022 12:00:00 AM,65+ Years,10.56373459238124,95,92.8
10/06/2022 12:00:00 AM,<2 Years,6.214790619579823,5.1,1.7
10/06/2022 12:00:00 AM,2 - 4 Years,6.300858515509917,7.9,3.1
10/06/2022 12:00:00 AM,5 - 11 Years,4.136143773723567,38.6,31.6
10/06/2022 12:00:00 AM,12 - 17 Years,5.561500963851687,71.1,60.8
10/06/2022 12:00:00 AM,18 - 24 Years,8.572126519236049,80.5,65.5
10/06/2022 12:00:00 AM,25 - 49 Years,9.825782387363974,84,71
